,Position,Track Name,Artist,Streams,URL,Date,Region,city_coord
15,1,Hukutaan,Arttu Lindeman,60220,https://open.spotify.com/track/0i8qXP5jTcu3dPfwZrboV3,2017-01-01,fi,"(63.2467777, 25.9209164)"
16,2,Alone,Alan Walker,56319,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,fi,"(63.2467777, 25.9209164)"
17,3,Loistat Pimeäs,Mikael Gabriel,48022,https://open.spotify.com/track/3bCuspxImskpiHF3udYdFI,2017-01-01,fi,"(63.2467777, 25.9209164)"
18,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,44903,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,fi,"(63.2467777, 25.9209164)"
19,5,Sinuhe,Profeetat,38004,https://open.spotify.com/track/1muAf2i6NwO1O7MMEr0A8O,2017-01-01,fi,"(63.2467777, 25.9209164)"
20,1,Alone,Alan Walker,103886,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,no,"(60.5000209, 9.0999715)"
21,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,85990,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,no,"(60.5000209, 9.0999715)"
22,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,68706,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,no,"(60.5000209, 9.0999715)"
23,4,Call On Me - Ryan Riback Extended Remix,Starley,60334,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,no,"(60.5000209, 9.0999715)"
24,5,I Feel It Coming,The Weeknd,56607,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,no,"(60.5000209, 9.0999715)"
25,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,71014,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,it,"(42.6384261, 12.674297)"
26,2,Tutto Molto Interessante,Fabio Rovazzi,54803,https://open.spotify.com/track/5lyTvBqxtjyPray48fCWgj,2017-01-01,it,"(42.6384261, 12.674297)"
27,3,Closer,The Chainsmokers,54136,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,it,"(42.6384261, 12.674297)"
28,4,Let Me Love You,DJ Snake,52883,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,it,"(42.6384261, 12.674297)"
29,5,Human,Rag'n'Bone Man,48454,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,2017-01-01,it,"(42.6384261, 12.674297)"
30,1,Starboy,The Weeknd,2583,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,lt,"(55.3500003, 23.7499997)"
31,2,I Feel It Coming,The Weeknd,2257,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,lt,"(55.3500003, 23.7499997)"
32,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1972,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,lt,"(55.3500003, 23.7499997)"
33,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1961,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,lt,"(55.3500003, 23.7499997)"
34,5,Closer,The Chainsmokers,1944,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,lt,"(55.3500003, 23.7499997)"
35,1,Versace On The Floor,Bruno Mars,185236,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-01-01,ph,"(12.44249325, 122.160395163807)"
36,2,Say You Won't Let Go,James Arthur,180552,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,ph,"(12.44249325, 122.160395163807)"
37,3,Closer,The Chainsmokers,158720,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ph,"(12.44249325, 122.160395163807)"
38,4,All We Know,The Chainsmokers,130874,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,ph,"(12.44249325, 122.160395163807)"
39,5,Don't Wanna Know,Maroon 5,129656,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,ph,"(12.44249325, 122.160395163807)"
40,1,Closer,The Chainsmokers,18651,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,tw,"(23.9739374, 120.9820179)"
41,2,Starboy,The Weeknd,14568,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,tw,"(23.9739374, 120.9820179)"
42,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,13476,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,tw,"(23.9739374, 120.9820179)"
43,4,Let Me Love You,DJ Snake,13431,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,tw,"(23.9739374, 120.9820179)"
44,5,帥到分手,NICKTHEREAL,13315,https://open.spotify.com/track/2tG6FZtaX5NPWFA64d8DWz,2017-01-01,tw,"(23.9739374, 120.9820179)"
45,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28957,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,nz,"(-41.5000831, 172.8344077)"
46,2,Starboy,The Weeknd,28259,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,nz,"(-41.5000831, 172.8344077)"
47,3,Closer,The Chainsmokers,26958,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,nz,"(-41.5000831, 172.8344077)"
48,4,24K Magic,Bruno Mars,24563,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,nz,"(-41.5000831, 172.8344077)"
49,5,Say You Won't Let Go,James Arthur,24005,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,nz,"(-41.5000831, 172.8344077)"
50,1,Starboy,The Weeknd,1950,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ee,"(58.7523778, 25.3319078)"
51,2,Tuesday,Burak Yeter,1727,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-01,ee,"(58.7523778, 25.3319078)"
52,3,Closer,The Chainsmokers,1692,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ee,"(58.7523778, 25.3319078)"
53,4,Alone,Alan Walker,1649,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,ee,"(58.7523778, 25.3319078)"
54,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1638,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,ee,"(58.7523778, 25.3319078)"
55,1,Gece Gölgenin Rahatına Bak,Çağatay Akman,80607,https://open.spotify.com/track/3P31rcl0ym5paqRdwSiZps,2017-01-01,tr,"(38.9597594, 34.9249653)"
56,2,Starboy,The Weeknd,44427,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,tr,"(38.9597594, 34.9249653)"
57,3,Affet,Müslüm Gürses,34889,https://open.spotify.com/track/0ikRchpmFlaqlzLRgu9qWk,2017-01-01,tr,"(38.9597594, 34.9249653)"
58,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28400,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,tr,"(38.9597594, 34.9249653)"
59,5,Let Me Love You,DJ Snake,25425,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,tr,"(38.9597594, 34.9249653)"
60,1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01,us,"(39.7837304, -100.4458825)"
61,2,Fake Love,Drake,1180074,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,us,"(39.7837304, -100.4458825)"
62,3,Starboy,The Weeknd,1064351,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,us,"(39.7837304, -100.4458825)"
63,4,Closer,The Chainsmokers,1010492,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,us,"(39.7837304, -100.4458825)"
64,5,Black Beatles,Rae Sremmurd,874289,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,us,"(39.7837304, -100.4458825)"
65,1,Reggaetón Lento (Bailemos),CNCO,5981,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,sv,"(13.8000382, -88.9140683)"
66,2,Otra Vez (feat. J Balvin),Zion & Lennox,5513,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,sv,"(13.8000382, -88.9140683)"
67,3,Chantaje,Shakira,5485,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,sv,"(13.8000382, -88.9140683)"
68,4,Safari,J Balvin,5033,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,sv,"(13.8000382, -88.9140683)"
69,5,Vente Pa' Ca,Ricky Martin,4102,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,sv,"(13.8000382, -88.9140683)"
70,1,Reggaetón Lento (Bailemos),CNCO,20171,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,cr,"(10.2735633, -84.0739102)"
71,2,Chantaje,Shakira,18779,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,cr,"(10.2735633, -84.0739102)"
72,3,Otra Vez (feat. J Balvin),Zion & Lennox,18196,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,cr,"(10.2735633, -84.0739102)"
73,4,Safari,J Balvin,18035,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,cr,"(10.2735633, -84.0739102)"
74,5,La Bicicleta,Carlos Vives,14388,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2017-01-01,cr,"(10.2735633, -84.0739102)"
75,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,229398,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,de,"(51.0834196, 10.4234469)"
76,2,Alone,Alan Walker,192026,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,de,"(51.0834196, 10.4234469)"
77,3,Chöre,Mark Forster,181869,https://open.spotify.com/track/2nYpbaLykC2cjU8Yt5KF1v,2017-01-01,de,"(51.0834196, 10.4234469)"
78,4,Starboy,The Weeknd,176328,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,de,"(51.0834196, 10.4234469)"
79,5,Closer,The Chainsmokers,170745,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,de,"(51.0834196, 10.4234469)"
80,1,Chantaje,Shakira,136652,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,cl,"(-31.7613365, -71.3187697)"
81,2,Otra Vez (feat. J Balvin),Zion & Lennox,108344,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,cl,"(-31.7613365, -71.3187697)"
82,3,Vente Pa' Ca,Ricky Martin,105203,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,cl,"(-31.7613365, -71.3187697)"
83,4,Reggaetón Lento (Bailemos),CNCO,97931,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,cl,"(-31.7613365, -71.3187697)"
84,5,Safari,J Balvin,82663,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,cl,"(-31.7613365, -71.3187697)"
85,1,Closer,The Chainsmokers,6342,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,jp,"(36.5748441, 139.2394179)"
86,2,I Feel It Coming,The Weeknd,5697,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,jp,"(36.5748441, 139.2394179)"
87,3,Let Me Love You,DJ Snake,5149,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,jp,"(36.5748441, 139.2394179)"
88,4,24K Magic,Bruno Mars,4846,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,jp,"(36.5748441, 139.2394179)"
89,5,Don't Wanna Know,Maroon 5,4595,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,jp,"(36.5748441, 139.2394179)"
90,1,Deu Onda,MC G15,612271,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,2017-01-01,br,"(-10.3333333, -53.2)"
91,2,Hear Me Now,Alok,269574,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-01,br,"(-10.3333333, -53.2)"
92,3,10% - Ao Vivo,Maiara & Maraisa,228307,https://open.spotify.com/track/2wFnRPjuqwNySFiK0Qfg8L,2017-01-01,br,"(-10.3333333, -53.2)"
93,4,Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,217394,https://open.spotify.com/track/45wqPwIH4A5cr2IyyD4WKf,2017-01-01,br,"(-10.3333333, -53.2)"
94,5,Meu Coração Deu PT - Ao Vivo,Wesley Safadão,214171,https://open.spotify.com/track/6zCqeUUqLb2CapBmVwAHll,2017-01-01,br,"(-10.3333333, -53.2)"
95,1,Otra Vez (feat. J Balvin),Zion & Lennox,6762,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,hn,"(15.2572432, -86.0755145)"
96,2,Chantaje,Shakira,6467,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,hn,"(15.2572432, -86.0755145)"
97,3,Safari,J Balvin,5951,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,hn,"(15.2572432, -86.0755145)"
98,4,Reggaetón Lento (Bailemos),CNCO,5760,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,hn,"(15.2572432, -86.0755145)"
99,5,Shaky Shaky,Daddy Yankee,5054,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,2017-01-01,hn,"(15.2572432, -86.0755145)"
100,1,Reggaetón Lento (Bailemos),CNCO,9124,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,gt,"(15.6356088, -89.8988087)"
101,2,Otra Vez (feat. J Balvin),Zion & Lennox,8886,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,gt,"(15.6356088, -89.8988087)"
102,3,Chantaje,Shakira,8693,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,gt,"(15.6356088, -89.8988087)"
103,4,Safari,J Balvin,7482,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,gt,"(15.6356088, -89.8988087)"
104,5,Vente Pa' Ca,Ricky Martin,6503,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,gt,"(15.6356088, -89.8988087)"
105,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,14352,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,ch,"(46.7985624, 8.2319736)"
106,2,Starboy,The Weeknd,14218,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ch,"(46.7985624, 8.2319736)"
107,3,Let Me Love You,DJ Snake,13549,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,ch,"(46.7985624, 8.2319736)"
108,4,Closer,The Chainsmokers,12988,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ch,"(46.7985624, 8.2319736)"
109,5,Say You Won't Let Go,James Arthur,11289,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,ch,"(46.7985624, 8.2319736)"
110,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,6263,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,hu,"(47.1817585, 19.5060937)"
111,2,Starboy,The Weeknd,5158,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,hu,"(47.1817585, 19.5060937)"
112,3,Closer,The Chainsmokers,5095,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,hu,"(47.1817585, 19.5060937)"
113,4,Let Me Love You,DJ Snake,4956,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,hu,"(47.1817585, 19.5060937)"
114,5,Don't Wanna Know,Maroon 5,3723,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,hu,"(47.1817585, 19.5060937)"
115,1,Starboy,The Weeknd,139175,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ca,"(61.0666922, -107.9917071)"
116,2,Closer,The Chainsmokers,128481,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ca,"(61.0666922, -107.9917071)"
117,3,Fake Love,Drake,118532,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,ca,"(61.0666922, -107.9917071)"
118,4,Bad and Boujee (feat. Lil Uzi Vert),Migos,100524,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01,ca,"(61.0666922, -107.9917071)"
119,5,One Dance,Drake,90257,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,ca,"(61.0666922, -107.9917071)"
120,1,Chantaje,Shakira,39602,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,pe,"(-6.8699697, -75.0458515)"
121,2,Reggaetón Lento (Bailemos),CNCO,36580,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,pe,"(-6.8699697, -75.0458515)"
122,3,Safari,J Balvin,34236,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,pe,"(-6.8699697, -75.0458515)"
123,4,Otra Vez (feat. J Balvin),Zion & Lennox,30781,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,pe,"(-6.8699697, -75.0458515)"
124,5,La Bicicleta,Carlos Vives,29298,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2017-01-01,pe,"(-6.8699697, -75.0458515)"
125,1,Hey Baby,Dimitri Vegas & Like Mike,23277,https://open.spotify.com/track/6yc377A8qxHIjPUcjGD4ET,2017-01-01,be,"(50.6402809, 4.6667145)"
126,2,Closer,The Chainsmokers,17456,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,be,"(50.6402809, 4.6667145)"
127,3,Starboy,The Weeknd,17374,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,be,"(50.6402809, 4.6667145)"
128,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,16763,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,be,"(50.6402809, 4.6667145)"
129,5,What Is Love 2016,Lost Frequencies,16197,https://open.spotify.com/track/5hIR7SX1fSrr5evIAPDY5o,2017-01-01,be,"(50.6402809, 4.6667145)"
130,1,Closer,The Chainsmokers,27062,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,my,"(39.7837304, -100.4458825)"
131,2,Say You Won't Let Go,James Arthur,26577,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,my,"(39.7837304, -100.4458825)"
132,3,Starboy,The Weeknd,24878,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,my,"(39.7837304, -100.4458825)"
133,4,Let Me Love You,DJ Snake,22310,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,my,"(39.7837304, -100.4458825)"
134,5,Bad Things (with Camila Cabello),Machine Gun Kelly,20668,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01,my,"(39.7837304, -100.4458825)"
135,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,50956,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,dk,"(55.670249, 10.3333283)"
136,2,Ked Af Det,Gulddreng,50360,https://open.spotify.com/track/2rt7ngjBKXKufIVz2xmVMd,2017-01-01,dk,"(55.670249, 10.3333283)"
137,3,KranAlarm,Jesu Brødre,45434,https://open.spotify.com/track/6nCNkAMUW0zmJfcN0dbx92,2017-01-01,dk,"(55.670249, 10.3333283)"
138,4,Helwa,Gilli,44174,https://open.spotify.com/track/7uXAWHUWb9XiR7tXoLw4uD,2017-01-01,dk,"(55.670249, 10.3333283)"
139,5,Starboy,The Weeknd,43664,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,dk,"(55.670249, 10.3333283)"
140,1,Reggaetón Lento (Bailemos),CNCO,6784,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,bo,"(-17.0568696, -64.9912286)"
141,2,Otra Vez (feat. J Balvin),Zion & Lennox,5748,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,bo,"(-17.0568696, -64.9912286)"
142,3,Chantaje,Shakira,5506,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,bo,"(-17.0568696, -64.9912286)"
143,4,Vente Pa' Ca,Ricky Martin,4804,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,bo,"(-17.0568696, -64.9912286)"
144,5,Traicionera,Sebastian Yatra,4780,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2017-01-01,bo,"(-17.0568696, -64.9912286)"
145,1,Let Me Love You,DJ Snake,26290,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,pl,"(52.0977181, 19.0258159)"
146,2,Starboy,The Weeknd,25198,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,pl,"(52.0977181, 19.0258159)"
147,3,Closer,The Chainsmokers,24642,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,pl,"(52.0977181, 19.0258159)"
148,4,Tuesday,Burak Yeter,24630,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-01,pl,"(52.0977181, 19.0258159)"
149,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,23163,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,pl,"(52.0977181, 19.0258159)"
150,1,Alone,Alan Walker,12990,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,at,"(47.2000338, 13.199959)"
151,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,12897,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,at,"(47.2000338, 13.199959)"
152,3,Chöre,Mark Forster,10852,https://open.spotify.com/track/2nYpbaLykC2cjU8Yt5KF1v,2017-01-01,at,"(47.2000338, 13.199959)"
153,4,Bad Ideas,Alle Farben,10837,https://open.spotify.com/track/76gwG061wqdatYhicO2hG4,2017-01-01,at,"(47.2000338, 13.199959)"
154,5,Closer,The Chainsmokers,10317,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,at,"(47.2000338, 13.199959)"
155,1,Starboy,The Weeknd,15397,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,pt,"(40.033265, -7.8896263)"
156,2,Let Me Love You,DJ Snake,10469,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,pt,"(40.033265, -7.8896263)"
157,3,24K Magic,Bruno Mars,10196,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,pt,"(40.033265, -7.8896263)"
158,4,One Dance,Drake,10105,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,pt,"(40.033265, -7.8896263)"
159,5,Closer,The Chainsmokers,10080,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,pt,"(40.033265, -7.8896263)"
160,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,129472,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,se,"(59.6749712, 14.5208584)"
161,2,Alone,Alan Walker,121710,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,se,"(59.6749712, 14.5208584)"
