Position,Track Name,Artist,Streams,URL,Date,Region,lat,long
4,Let Me Love You,DJ Snake,22310,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,my,39.7837304,-100.4458825
5,Bad Things (with Camila Cabello),Machine Gun Kelly,20668,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1/1/2017,my,39.7837304,-100.4458825
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,50956,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,dk,55.670249,10.3333283
2,Ked Af Det,Gulddreng,50360,https://open.spotify.com/track/2rt7ngjBKXKufIVz2xmVMd,1/1/2017,dk,55.670249,10.3333283
3,KranAlarm,Jesu Brødre,45434,https://open.spotify.com/track/6nCNkAMUW0zmJfcN0dbx92,1/1/2017,dk,55.670249,10.3333283
4,Helwa,Gilli,44174,https://open.spotify.com/track/7uXAWHUWb9XiR7tXoLw4uD,1/1/2017,dk,55.670249,10.3333283
5,Starboy,The Weeknd,43664,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,dk,55.670249,10.3333283
1,Reggaetón Lento (Bailemos),CNCO,6784,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,bo,-17.0568696,-64.9912286
2,Otra Vez (feat. J Balvin),Zion & Lennox,5748,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,bo,-17.0568696,-64.9912286
3,Chantaje,Shakira,5506,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,bo,-17.0568696,-64.9912286
4,Vente Pa' Ca,Ricky Martin,4804,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,bo,-17.0568696,-64.9912286
5,Traicionera,Sebastian Yatra,4780,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,1/1/2017,bo,-17.0568696,-64.9912286
1,Let Me Love You,DJ Snake,26290,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,pl,52.0977181,19.0258159
2,Starboy,The Weeknd,25198,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,pl,52.0977181,19.0258159
3,Closer,The Chainsmokers,24642,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,pl,52.0977181,19.0258159
4,Tuesday,Burak Yeter,24630,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,1/1/2017,pl,52.0977181,19.0258159
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,23163,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,pl,52.0977181,19.0258159
1,Alone,Alan Walker,12990,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/1/2017,at,47.2000338,13.199959
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,12897,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,at,47.2000338,13.199959
3,Chöre,Mark Forster,10852,https://open.spotify.com/track/2nYpbaLykC2cjU8Yt5KF1v,1/1/2017,at,47.2000338,13.199959
4,Bad Ideas,Alle Farben,10837,https://open.spotify.com/track/76gwG061wqdatYhicO2hG4,1/1/2017,at,47.2000338,13.199959
5,Closer,The Chainsmokers,10317,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/2017,at,47.2000338,13.199959
1,Starboy,The Weeknd,15397,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,pt,40.033265,-7.8896263
2,Let Me Love You,DJ Snake,10469,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/2017,pt,40.033265,-7.8896263
3,24K Magic,Bruno Mars,10196,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/1/2017,pt,40.033265,-7.8896263
4,One Dance,Drake,10105,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/1/2017,pt,40.033265,-7.8896263
